sgRNA	Gene	baseline_1	fxn_1	baseline_2	fxn_2
sgXRCC2_1	XRCC2	1584	750	2269	1459
sgHSD11B1_4	HSD11B1	3161	2822	8451	6042
sgNPR1_3	NPR1	1837	944	3000	3132
sgOSBPL3_4	OSBPL3	296	151	1265	1416
sgGLMN_3	GLMN	1045	540	838	1003
sgTBC1D12_1	TBC1D12	3076	3679	5374	4463
sgAXDND1_4	AXDND1	710	538	603	1988
sgIPO4_4	IPO4	481	611	2865	1618
sgTSPAN2_2	TSPAN2	1999	2216	2787	1382
sgWDR70_3	WDR70	394	587	622	859
sgLRRC19_1	LRRC19	2863	1750	1307	1611
sgTNNT3_2	TNNT3	1870	1735	2710	1433
sgABHD15_4	ABHD15	1053	517	3267	2741
sgTIMM23_4	TIMM23	1361	1524	1725	1104
sgMOV10_4	MOV10	2699	3505	1880	1331
sgMIS18BP1_2	MIS18BP1	837	676	113	99
sgACSM6_1	ACSM6	397	211	931	803
sgPRDX5_3	PRDX5	618	329	5398	3349
sgB3GALT4_2	B3GALT4	1338	1426	1128	1411
sgASB7_2	ASB7	3793	2542	1099	803
sgZNF157_2	ZNF157	815	483	519	570
sgGUF1_3	GUF1	910	1141	1725	2889
sgPSMB5_3	PSMB5	1168	1242	776	1184
sgGLI3_1	GLI3	953	509	1071	614
sgTSPAN5_1	TSPAN5	2375	1652	1167	845
sgPIK3R3_2	PIK3R3	1996	1057	4264	1904
sgCCT6B_3	CCT6B	1679	1947	2412	2074
sgSCD_4	SCD	1297	725	3419	2095
sgTRAPPC6A_3	TRAPPC6A	2011	1153	524	418
sgANKRD34B_3	ANKRD34B	158	129	1256	1009
sgOR2D2_3	OR2D2	1548	1530	10505	6696
sgISM2_1	ISM2	1222	1480	2405	1614
sgC8orf44-SGK3_4	C8orf44-SGK3	1324	1075	3064	1162
sgTNFRSF21_2	TNFRSF21	830	633	11981	6701
sgARL17A_1	ARL17A	5485	3528	1586	754
sgEMILIN1_3	EMILIN1	1941	1328	2743	2052
sgITGB7_2	ITGB7	4906	2805	4991	2283
sgLIM2_3	LIM2	887	471	394	157
sgMIR1-1HG_3	MIR1-1HG	1233	1164	1257	2427
sgCXCR6_1	CXCR6	799	1077	4482	2552
sgLOC400863_3	LOC400863	733	655	3173	2014
sgJUNB_4	JUNB	365	332	162	42
sgHSD11B1_3	HSD11B1	2177	1619	2066	1314
sgSTX6_1	STX6	2913	1729	1670	1316
sgFSD1L_2	FSD1L	1747	1673	904	607
sgINTRON-DMD_6	NegCtrlIntron	2196	1862	1245	1318
sgKCNJ18_1	KCNJ18	1582	1126	575	410
sgPCDHB8_1	PCDHB8	1155	1454	1952	1142
sgATP11C_2	ATP11C	4563	2804	556	56
sgSCYL2_3	SCYL2	1762	1396	5828	3028
sgPRSS12_3	PRSS12	246	172	1372	1072
sgTP53AIP1_4	TP53AIP1	2774	2017	5153	5488
sgZNF496_1	ZNF496	435	835	973	637
sgKIAA1841_2	KIAA1841	1278	991	2478	1512
sgARR3_1	ARR3	505	512	1055	1078
sgESPL1_2	ESPL1	581	790	2348	1462
sgC12orf73_1	C12orf73	1004	541	375	135
sgS100A10_4	S100A10	1536	1440	1226	994
sgASCL5_1	ASCL5	4873	3123	3229	1529
sgLCE1A_4	LCE1A	1450	1230	1022	1061
sgCCDC61_1	CCDC61	1407	983	1669	679
sgHS3ST6_2	HS3ST6	639	533	545	697
sgNEXN_2	NEXN	1059	1000	7155	2643
sgSLC6A17_1	SLC6A17	3038	1900	10356	4666
sgHCAR1_4	HCAR1	1504	587	238	968
sgWNT3A_1	WNT3A	1874	1647	3528	3409
sgMVK_2	MVK	473	451	1386	720
sgCHST14_1	CHST14	362	352	1890	916
sgSCRT2_4	SCRT2	2392	2786	1924	1407
sgMAGEB3_2	MAGEB3	1091	721	2379	1258
sgIFNA4_4	IFNA4	1493	1424	897	1047
sgSCO2_3	SCO2	645	731	365	1246
sgSLC52A3_3	SLC52A3	1591	1111	913	1276
sgSH3YL1_2	SH3YL1	2443	1932	3869	2279
sgCYP3A5_4	CYP3A5	4174	2299	1681	2255
sgAMPD2_2	AMPD2	685	721	2862	2779
sgGALNT15_1	GALNT15	6359	2993	1457	1049
sgUBAP2L_3	UBAP2L	2308	1366	13148	5680
sgKRT3_4	KRT3	2335	2694	7683	3216
sgRIMS1_2	RIMS1	5307	3632	952	731
sgARL9_2	ARL9	627	404	1050	738
sgOLFM3_4	OLFM3	1542	1295	2929	1495
sgPINLYP_4	PINLYP	3587	2659	3588	3624
sgAPOLD1_3	APOLD1	1615	1549	2243	2792
sgSULT1C3_1	SULT1C3	798	543	1917	1488
sgGLIPR1_2	GLIPR1	4010	3256	2403	1140
sgLCE2D_1	LCE2D	4027	3141	3213	2136
sgEEF1A2_4	EEF1A2	1003	1035	2507	1931
sgENPP7_2	ENPP7	1553	1663	656	980
sgMIA3_1	MIA3	8039	10847	1788	1457
sgSRP19_4	SRP19	773	526	413	607
sgZFYVE28_2	ZFYVE28	1670	1379	2545	1161
sgHS3ST2_3	HS3ST2	2012	1493	4324	4473
sgCDH16_3	CDH16	1021	1054	1002	645
sgLMLN_2	LMLN	5935	2723	2010	1194
sgGRIFIN_4	GRIFIN	3105	1716	1223	413
sgC9orf106_3	C9orf106	1463	1455	669	838
sgTRDMT1_2	TRDMT1	2075	1862	1501	539
sgLUZP4_4	LUZP4	2548	1898	2010	2123
sgHYAL4_1	HYAL4	1683	1001	3392	3344
sgBNIP3_3	BNIP3	1666	1260	1857	1350
sgRPS6KA6_2	RPS6KA6	2769	2322	777	1285
sgIGF2BP2_1	IGF2BP2	643	865	2767	2305
sgFBXW10_3	FBXW10	1437	1292	1937	1349
sgTRPC1_4	TRPC1	1730	1513	17555	6335
sgHACD1_1	HACD1	1410	1997	1357	1360
sgTMEM183A_2	TMEM183A	1731	1387	1653	867
sgGPI_4	GPI	939	812	1529	1903
sgOTUB1_4	OTUB1	1232	979	878	1131
Neg_Control_Human_0059	NegCtrl	1951	1602	568	632
sgLRCH4_4	LRCH4	1991	1747	1521	1392
sgBMP5_3	BMP5	775	680	1679	800
sgPLOD3_3	PLOD3	1391	676	1698	1136
sgLOH12CR1_3	LOH12CR1	644	433	4039	1688
sgPSMF1_2	PSMF1	551	475	276	557
sgC2orf47_3	C2orf47	901	468	2982	563
sgCOPG2_4	COPG2	1974	1311	2775	2024
sgZNF711_1	ZNF711	10281	5299	3577	3305
sgOLFM4_2	OLFM4	1139	721	4946	2446
sgSRY_4	SRY	1264	890	2066	823
sgKPRP_3	KPRP	1474	1381	2872	2287
sgMS4A12_4	MS4A12	1513	960	744	558
sgXYLT1_3	XYLT1	216	222	677	768
sgCYP7B1_1	CYP7B1	1464	1192	3961	2578
sgPRR20C_2	PRR20C	587	1114	778	498
sgNFKBIE_4	NFKBIE	3142	1843	2007	1748
sgRELN_1	RELN	2997	2709	960	992
sgZNF595_1	ZNF595	1418	1162	6465	6518
sgDPEP1_3	DPEP1	1951	1357	815	554
sgRNF213_4	RNF213	717	488	967	612
sgGPX5_1	GPX5	1185	984	3337	2269
sgCRYAB_4	CRYAB	999	837	332	314
sgPTGES_3	PTGES	1275	1543	5156	1998
sgST8SIA1_4	ST8SIA1	2626	1060	132	7
sgRYR2_3	RYR2	1485	1554	3270	2089
sgCSRP2_3	CSRP2	1057	896	883	947
sgAASDHPPT_2	AASDHPPT	1261	1196	4042	2257
sgCCDC78_2	CCDC78	1763	1957	1463	1514
sgSENP2_1	SENP2	427	450	677	358
sgCALN1_3	CALN1	1459	1204	1501	818
sgGRIK3_2	GRIK3	563	380	947	810
sgSLC27A6_3	SLC27A6	493	272	277	221
sgZNF343_3	ZNF343	2545	1173	52	63
sgZNF333_2	ZNF333	762	1238	10296	3732
sgSEPSECS_4	SEPSECS	5248	3174	8199	15020
sgC11orf71_1	C11orf71	275	282	2455	1878
sgATF6_1	ATF6	303	333	1080	1149
sgGNGT1_3	GNGT1	514	992	4771	2168
sgBGLAP_1	BGLAP	781	715	2969	1793
sgGPA33_3	GPA33	1423	1284	860	767
sgCLCNKA_1	CLCNKA	418	483	729	323
sgCPNE4_1	CPNE4	953	549	4219	1453
sgCDC42BPB_3	CDC42BPB	1457	1507	2245	1148
sgC6orf48_1	C6orf48	400	489	284	237
sgOGFOD2_1	OGFOD2	2173	2084	2592	1963
sgACBD5_4	ACBD5	842	679	728	825
sgC9orf50_1	C9orf50	2413	1224	1524	859
sgPGM2_4	PGM2	2025	1254	4207	2634
sgTPM3_1	TPM3	4882	3511	244	339
sgSMC3_3	SMC3	901	740	125	138
sgPGM2_3	PGM2	1197	1130	3122	2317
sgEFCAB1_3	EFCAB1	1946	1144	259	440
sgVN1R5_2	VN1R5	360	607	605	418
sgLOXL2_1	LOXL2	2632	1525	569	414
sgMAMLD1_2	MAMLD1	2512	2297	1996	1430
sgMAS1L_2	MAS1L	2589	2104	2646	2677
sgSMN2_2	SMN2	824	1338	811	1090
sgNKG7_4	NKG7	2330	1670	3153	2285
sgVRK2_1	VRK2	1887	1534	2689	1418
sgC10orf12_2	C10orf12	2488	1468	2374	1875
sgDND1_1	DND1	2306	1176	1906	1660
sgPRM1_1	PRM1	1472	1406	2284	1952
sgPPP2R4_4	PPP2R4	1620	1817	757	784
sgZNF470_4	ZNF470	5218	4618	4795	4060
sgALDH1B1_2	ALDH1B1	2193	2169	256	319
sgIFI44_3	IFI44	1474	1119	2321	1542
sgTVP23B_2	TVP23B	526	523	844	1074
sgTMEM55B_4	TMEM55B	1369	829	1100	1390
sgPCBP2_1	PCBP2	441	348	140	50
sgPCDHGA7_3	PCDHGA7	1582	1573	2414	1367
sgDEPDC1B_4	DEPDC1B	3011	1995	1871	1333
sgAPBA2_4	APBA2	917	790	1873	1107
sgSRPK1_1	SRPK1	2736	1303	3189	2298
Neg_Control_Human_GA_0437	NegCtrl	6019	3215	4069	2511
sgERF_1	ERF	2106	1580	476	309
sgTRPC5OS_4	TRPC5OS	2904	1974	3905	1873
sgANXA8L1_1	ANXA8L1	2215	1308	1953	1683
sgTRIM67_4	TRIM67	7916	3064	4656	2737
sgATP2A2_4	ATP2A2	740	896	7368	3144
sgOR4X1_3	OR4X1	1006	1098	5323	4190
sgTCEB3B_2	TCEB3B	561	582	1150	925
sgPRKRIR_4	PRKRIR	8501	8326	1863	1053
sgNKX2-2_3	NKX2-2	1887	1390	458	378
sgPOMT1_1	POMT1	987	569	262	229
sgTRIM66_4	TRIM66	1632	1393	3694	1410
sgC8orf37_2	C8orf37	738	485	758	668
sgSNURF_1	SNURF	4322	3034	635	916
sgDDX3X_2	DDX3X	1442	1580	761	996
sgACSS2_3	ACSS2	1330	1419	2169	1656
sgHDGFRP2_3	HDGFRP2	689	474	1694	1127
sgNTSR1_3	NTSR1	1277	1322	5363	3705
sgRPP14_2	RPP14	1542	1609	903	712
sgCCPG1_2	CCPG1	2209	2156	4761	2119
sgGSX1_2	GSX1	2199	2381	8329	5026
sgIFNA5_2	IFNA5	640	645	2077	1579
sgKCNG2_1	KCNG2	5506	3405	2165	1302
sgELOVL4_4	ELOVL4	2769	2251	1177	1617
sgKDELC1_1	KDELC1	3522	2109	2178	1846
sgCIART_2	CIART	3523	2033	1289	508
sgCLIC6_4	CLIC6	2907	2332	1969	1109
sgSCAMP5_2	SCAMP5	951	637	828	1050
sgTTPAL_4	TTPAL	875	796	247	330
sgVSTM2A_4	VSTM2A	2438	1261	589	394
sgCCDC169_1	CCDC169	2450	1937	915	718
sgTNP2_1	TNP2	565	756	391	253
sgCALR_1	CALR	1883	1566	1169	924
sgASXL2_2	ASXL2	5953	2607	5672	13048
sgSLC14A2_4	SLC14A2	2551	1804	4217	2562
sgZNF208_4	ZNF208	1478	597	768	651
sgDBNL_2	DBNL	1290	825	1555	665
sgNSUN2_2	NSUN2	1795	1924	352	208
sgBMI1_4	BMI1	1550	1053	1542	1307
sgSYT7_2	SYT7	1714	873	964	1033
sgCORIN_4	CORIN	1310	754	813	628
sgOCEL1_4	OCEL1	969	793	3792	2877
sgTMEM238_3	TMEM238	2117	1503	201	357
sgFOXB1_3	FOXB1	2934	2653	2019	1706
sgLASP1_2	LASP1	2286	1600	1853	1427
sgMTMR12_1	MTMR12	391	389	1918	2532
sgFAM25C_2	FAM25C	844	498	840	1777
sgC2orf48_2	C2orf48	1183	892	553	636
sgTMEM114_2	TMEM114	3299	2648	421	166
sgOR5AR1_2	OR5AR1	726	1081	1387	435
sgKIFC1_1	KIFC1	1711	972	1276	654
sgZNF451_4	ZNF451	2156	1986	7712	2298
sgGIPR_3	GIPR	3585	1855	716	691
sgSTARD8_2	STARD8	1249	1417	6114	3941
sgNDST1_3	NDST1	1249	1092	2233	2119
sgKIFAP3_4	KIFAP3	563	1262	6097	5162
sgFGF1_1	FGF1	263	182	400	476
sgNEUROD2_1	NEUROD2	1496	870	1281	1874
sgNME8_2	NME8	580	226	223	325
sgDNAJB8_3	DNAJB8	10713	6874	1207	651
sgFAM71C_2	FAM71C	836	1044	535	361
sgPPP3CA_4	PPP3CA	1203	741	731	717
sgCHST13_2	CHST13	1064	1513	611	647
sgITGA10_2	ITGA10	1801	1947	1036	1055
sgPRSS58_4	PRSS58	2745	2354	1235	915
sgOR11H4_3	OR11H4	3896	3339	8334	7215
sgMEF2D_4	MEF2D	1143	1557	1420	1054
sgADAMTS5_3	ADAMTS5	3171	1653	9197	4842
sgTMPO_4	TMPO	836	996	1052	801
sgALG1L2_1	ALG1L2	2663	2217	10854	4369
sgTPH2_1	TPH2	1802	1712	2382	1076
sgNAT2_4	NAT2	2712	2200	1179	1492
sgSREBF2_4	SREBF2	744	1484	505	557
sgLOC101929983_2	LOC101929983	1729	1376	1301	1320
sgSLC28A3_4	SLC28A3	1190	1043	2505	3565
sgUPRT_3	UPRT	4042	3287	1909	890
sgIGSF5_2	IGSF5	1148	1032	452	336
sgMOSPD3_4	MOSPD3	1117	695	2946	1799
sgDAXX_1	DAXX	1735	2114	1099	816
sgLHX3_3	LHX3	1255	1534	1514	919
sgMED28_2	MED28	414	666	1591	921
sgIL1F10_3	IL1F10	2168	1445	4100	3706
sgNCOA2_4	NCOA2	2559	1486	3577	2223
sgABHD2_4	ABHD2	9978	9262	493	981
sgCLSTN2_4	CLSTN2	1327	1042	1125	916
sgZNF529_1	ZNF529	1836	1382	3693	2444
sgSCTR_1	SCTR	2657	1838	3761	1977
sgCCDC58_4	CCDC58	1354	1524	3157	1854
sgMETTL2B_4	METTL2B	945	558	154	96
sgSH3PXD2A_2	SH3PXD2A	2846	2213	5544	5293
sgPNLIPRP2_4	PNLIPRP2	1979	2068	2581	1429
sgGJA3_1	GJA3	723	2016	592	907
sgLRRC71_3	LRRC71	3816	1347	1297	780
sgTIMM23B_1	TIMM23B	1749	1515	5531	3270
sgZNF227_1	ZNF227	2316	2023	483	641
sgZNF708_1	ZNF708	2291	1910	673	681
sgKRTAP19-7_4	KRTAP19-7	552	478	311	414
sgHRAS_2	HRAS	3101	2355	7736	4064
sgTIMP1_3	TIMP1	633	572	3174	1669
sgCDK17_3	CDK17	1713	955	440	731
sgHCK_1	HCK	797	730	265	230
sgDNAH10_1	DNAH10	3473	1563	718	447
sgH1FOO_4	H1FOO	1868	927	1936	1686
sgITFG3_3	ITFG3	2288	1544	3935	2688
sgTRAF3IP2_2	TRAF3IP2	4202	2662	761	1413
sgCYP51A1_3	CYP51A1	1327	1315	379	896
sgTRIM22_1	TRIM22	1636	1457	1612	1107
sgTDRD5_4	TDRD5	1694	1513	4021	2448
sgSPSB1_2	SPSB1	637	708	10408	5450
sgORAI2_3	ORAI2	1963	1541	3069	2209
sgSPOCK1_1	SPOCK1	4283	2957	3800	2160
sgRBM3_1	RBM3	2687	2238	2838	1637
sgEML5_4	EML5	3128	1724	534	678
sgZNF665_1	ZNF665	1188	664	309	346
sgC7orf60_4	C7orf60	870	870	837	1122
sgXPNPEP1_4	XPNPEP1	2097	2057	5144	1500
sgPLEKHF2_1	PLEKHF2	4448	5811	1068	622
sgGPATCH8_1	GPATCH8	5571	5464	2467	2568
sgATRX_2	ATRX	1234	946	3896	2499
sgSERPINA6_1	SERPINA6	1348	895	1790	2076
sgPKHD1_2	PKHD1	2724	2185	1203	1075
sgVAV1_4	VAV1	821	381	425	454
sgLIMS1_2	LIMS1	789	634	649	704
sgDYDC2_4	DYDC2	2276	1789	612	1240
sgBNIP3L_3	BNIP3L	16818	8271	2917	1800
sgGSX2_2	GSX2	617	335	118	91
sgRPS21_1	RPS21	174	103	1472	786
sgDBX2_1	DBX2	2324	2136	4347	2412
sgSEBOX_2	SEBOX	803	1117	1135	1168
sgREG1B_4	REG1B	1843	1830	6264	3551
sgEPO_3	EPO	2087	2242	3197	2199
sgBRICD5_1	BRICD5	961	667	1747	1086
sgCYSRT1_2	CYSRT1	937	838	17876	11058
sgFRMD7_3	FRMD7	1314	847	1194	1652
sgPIK3IP1_1	PIK3IP1	1588	1362	10673	3267
sgSTK11_2	STK11	706	812	2950	2122
sgFAM92A1_4	FAM92A1	1326	1111	7535	2849
sgCOL4A1_4	COL4A1	1149	1013	120	177
sgDEPDC7_3	DEPDC7	4047	3976	1708	1380
sgOR2K2_1	OR2K2	3041	2697	441	435
sgAPTX_1	APTX	975	660	2469	1930
sgANKRD34C_4	ANKRD34C	1159	837	3166	3798
sgGCK_3	GCK	1626	1159	1034	1043
sgRBM14_1	RBM14	1134	605	824	590
sgBBS2_4	BBS2	645	792	2382	1553
sgIL31RA_3	IL31RA	5520	3035	216	442
sgC10orf99_2	C10orf99	728	639	746	983
sgCPEB1_3	CPEB1	923	832	263	834
sgTIMP1_2	TIMP1	4739	2595	1286	682
sgAGXT_1	AGXT	687	475	2534	1151
sgGNRH2_1	GNRH2	1971	1176	2032	1576
sgOR5R1_3	OR5R1	1907	2121	929	776
sgTCF23_1	TCF23	1032	581	1097	1202
sgSNX11_1	SNX11	1487	2366	554	872
sgOLA1_4	OLA1	1095	992	3489	2528
sgOR10S1_1	OR10S1	912	1069	785	1182
sgPWWP2B_4	PWWP2B	3478	1717	2397	1832
sgFLYWCH2_4	FLYWCH2	2594	1757	1017	880
sgDUS4L_4	DUS4L	1012	912	2239	1081
sgRPS4Y1_2	RPS4Y1	1622	1448	1788	1929
sgIGF2_4	IGF2	1778	1136	4383	1897
sgICOS_1	ICOS	4172	3184	796	1389
sgSLA2_1	SLA2	817	569	1550	1331
sgPROC_2	PROC	1667	710	1180	985
sgCCDC94_3	CCDC94	6551	3694	5935	3617
sgNEB_2	NEB	2350	1115	3561	1463
sgIRS4_2	IRS4	2547	1278	1117	959
sgFAM47E_2	FAM47E	2547	2030	3596	2272
sgLEFTY2_3	LEFTY2	3650	2973	5062	2255
sgTRIM50_3	TRIM50	1259	708	189	47
sgZNF761_3	ZNF761	2305	1305	2273	831
sgAMT_1	AMT	618	333	2218	2646
sgPDLIM1_1	PDLIM1	3171	1536	4840	3421
sgSLC38A1_2	SLC38A1	401	289	294	245
sgZNF142_2	ZNF142	2885	3136	618	709
sgMAP1S_3	MAP1S	561	554	2002	2799
sgABCG4_4	ABCG4	2895	1749	5721	3284
sgCLEC4E_3	CLEC4E	1346	1139	1312	826
sgPRMT9_4	PRMT9	4124	2003	3885	3907
sgPALMD_3	PALMD	1078	1116	1723	1200
sgCHMP4A_4	CHMP4A	945	1078	361	293
sgRPS20_2	RPS20	745	395	122	20
sgGRXCR2_1	GRXCR2	2090	2352	4294	2868
sgSGK3_3	SGK3	21230	10667	3185	1890
sgMN1_1	MN1	1192	1037	205	362
sgHIST1H3H_3	HIST1H3H	1092	920	651	758
sgCSPP1_2	CSPP1	2029	1592	599	784
sgMDM1_4	MDM1	1224	1560	850	973
sgLOC113230_1	LOC113230	1276	1105	961	993
sgSFXN5_2	SFXN5	3001	2575	2904	1934
sgTTC23_4	TTC23	508	681	110	195
sgONECUT2_4	ONECUT2	1195	1026	3743	1929
sgKCTD14_4	KCTD14	367	652	539	547
sgZMAT3_4	ZMAT3	1565	1279	595	462
sgMARCH11_2	Mar-11	1421	1416	2850	1945
sgHYPM_2	HYPM	742	837	2300	1409
sgOR8G1_4	OR8G1	2765	1992	1224	1132
sgSLC25A38_2	SLC25A38	1627	1591	5858	4880
sgOTP_1	OTP	2239	1357	3889	2877
sgADAM30_1	ADAM30	1308	1118	970	1463
sgRHOD_2	RHOD	9066	5378	571	417
sgHOXD13_1	HOXD13	2482	1982	2151	1332
sgLRP2_2	LRP2	31730	10839	187	488
sgANKRD33_3	ANKRD33	2525	1730	613	475
Neg_Control_Human_0052	NegCtrl	3412	2850	3004	1701
sgTMEM56-RWDD3_1	TMEM56-RWDD3	316	257	339	512
sgGOLGA6D_4	GOLGA6D	2938	1942	915	611
sgRNF157_3	RNF157	6306	4496	5103	3489
sgLYL1_2	LYL1	1081	686	563	668
sgC15orf43_2	C15orf43	2135	2350	1560	1368
sgPRMT3_1	PRMT3	761	666	2183	1473
sgGPAA1_4	GPAA1	1166	1599	1119	1753
sgTPSG1_3	TPSG1	310	313	333	250
sgGKAP1_4	GKAP1	688	825	644	1134
sgCNTNAP5_1	CNTNAP5	3161	1837	1848	1914
sgGAST_3	GAST	1187	670	2562	2158
sgOR52W1_2	OR52W1	3748	2972	710	991
sgJDP2_4	JDP2	452	571	1920	1587
sgIDH3A_1	IDH3A	2546	1352	1151	1060
sgCORO2B_4	CORO2B	894	1062	1489	1297
sgAEBP2_3	AEBP2	5074	2429	7303	3046
sgOSBP2_1	OSBP2	6503	3800	3759	2349
sgBBS1_3	BBS1	1180	928	973	815
sgSLC4A4_3	SLC4A4	5184	4904	5060	1878
sgITGAV_1	ITGAV	1143	699	1475	1858
